"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","genres","language","description","popularity","vote_count","vote_average","budget","revenue"
"10162",581600,"Movie","Spenser Confidential","Peter Berg","Mark Wahlberg, Winston Duke, Alan Arkin, Iliza Shlesinger, Michael Gaston","United States of America","2020-03-06",2020,6.53,NA,"Comedy, Action, Thriller","en","Spenser, a former Boston patrolman who just got out from prison, teams up with Hawk, an aspiring fighter, to unravel the truth behind the death of two police officers.",17.757,2326,6.53,0,0
"14312",1061990,"Movie","City Hunter","Yuichi Satoh","Ryohei Suzuki, Misato Morita, Masanobu Ando, Fumino Kimura, Asuka Hanamura","Japan","2024-04-24",2024,6.5,NA,"Action","ja","An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death.",51.573,209,6.5,0,0
"14305",801688,"Movie","Kalki 2898-AD","Nag Ashwin","Amitabh Bachchan, Prabhas, Deepika Padukone, Kamal Haasan, Saswata Chatterjee","India","2024-06-26",2024,6.4,NA,"Drama, Action, Fantasy, Science Fiction","te","In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.",52.383,115,6.4,75000000,1.41e+08
"1758",71744,"Movie","Eating Out: Drama Camp","Q. Allan Brocka","Chris Salvatore, Daniel Skelton, Aaron Milo, Ronnie Kroell, Harmony Santana","United States of America","2011-07-01",2011,5.8,NA,"Comedy","en","Zack and Casey's relationship is in a slump, but things are about to change at Dick Dickey's Drama Camp. Zack meets gorgeous Benji, and when they get cast as lovers in a sexed-up version of The Taming of the Shrew, their self-restraint is put to the test. Will Zack and Casey's relationship last with Benji in the picture?",5.799,65,5.8,0,0
"10348",733317,"Movie","Monsters of Man","Mark Toia","Neal McDonough, Brett Tutor, Jose Rosete, David Haverty, Paul Haapaniemi","Australia","2020-11-19",2020,6.4,NA,"Science Fiction","en","A robotics company vying to win a lucrative military contract team up with a corrupt CIA agent to conduct an illegal live field test. They deploy four weaponized prototype robots into a suspected drug manufacturing camp in the Golden Triangle, assuming they'd be killing drug runners that no one would miss. Six doctors on a humanitarian mission witness the brutal slaughter and become prime targets.",12.533,350,6.4,1900000,0
"2543",97512,"Movie","The Courier","Hany Abu-Assad","Jeffrey Dean Morgan, Josie Ho, Miguel Ferrer, Lili Taylor, Mark Margolis","United States of America","2012-03-29",2012,5,NA,"Action, Crime","en","A shady FBI agent recruits a courier to deliver a mysterious package to a vengeful master criminal who has recently resurfaced with a diabolical plan.",8.273,121,5,15500000,58387
"13559",722149,"Movie","Luther: The Fallen Sun","Jamie Payne","Idris Elba, Cynthia Erivo, Andy Serkis, Dermot Crowley, Thomas Coombes","United Kingdom, United States of America","2023-02-24",2023,6.7,NA,"Crime, Mystery, Thriller","en","A gruesome serial killer is terrorizing London while brilliant but disgraced detective John Luther sits behind bars. Haunted by his failure to capture the cyber psychopath who now taunts him, Luther decides to break out of prison to finish the job by any means necessary.",14.815,955,6.7,0,0
"12263",1034337,"Movie","The Lost Lotteries","Prueksa Amaruji","Wongravee Nateetorn, Padung Songsang, Phantira Pipityakorn, Napapa Tantrakul, Somjit Jongjohor","Thailand","2022-11-16",2022,6.7,NA,"Crime, Comedy","th","Five down-on-their-luck strangers must band together to steal back winning lottery tickets worth millions from a wicked mafia boss.",20.007,27,6.7,0,0
"1965",79123,"Movie","Little Murder","Predrag Antonijević","Josh Lucas, Terrence Howard, Lake Bell, Deborah Ann Woll, Bokeem Woodbine","United States of America","2011-01-08",2011,5,NA,"Drama, Thriller","en","In post-Katrina New Orleans, a disgraced detective encounters the ghost of a murdered woman who wants to help him identify her killer.",4.554,26,5,0,0
"12711",983768,"Movie","Black Warrant","Tibor Takács","Tom Berenger, Cam Gigandet, Jeff Fahey, Jonathan Avigdori, Sara Seyed","United States of America","2022-12-09",2022,5.6,NA,"Action, Mystery, Thriller","en","A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.",10.219,52,5.6,0,0
"12074",836225,"Movie","The Exorcism of God","Alejandro Hidalgo","Will Beinbrink, María Gabriela de Faría, Irán Castillo, Joseph Marcell, Hector Kotsifakis","Mexico, United States of America, Venezuela","2022-03-11",2022,7.1,NA,"Horror, Crime, Drama, Fantasy","en","An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",43.357,1084,7.1,1500000,0
"150",38408,"Movie","Life As We Know It","Greg Berlanti","Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett, Brynn Clagett","United States of America","2010-10-02",2010,6.9,NA,"Comedy, Romance, Drama","en","After a disastrous first date for caterer Holly and network sports director Messer, all they have in common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world, Holly and Messer must set their differences aside. Juggling careers and social calendars, they'll have to find common ground while living under the same roof.",17.009,3135,6.9,38000000,105734416
"5551",460105,"Movie","Revenge Porn: Love Is Dead","Kenji Hanyû","Aimi Yoshikawa, Maika Shimamura, Rio Ishino, Ryo Mukunoki, Seiji Nakamitsu","Japan","2015-12-25",2015,5.1,NA,"Drama, Thriller","ja","A female office worker grows tired of her popular and attractive colleague's office affairs, and releases explicit footage of her as revenge.",9.04,19,5.1,0,0
"5249",334298,"Movie","Monster Hunt","Raman Hui","Bai Baihe, Jing Boran, Jiang Wu, Elaine Jin Yan-Ling, Wallace Chung","China, Hong Kong","2015-07-16",2015,6.4,NA,"Comedy, Fantasy, Adventure","zh","Young monster kids try to make peace between the world of humans and the world of the monsters.",14.651,334,6.4,0,387053506
"13564",1085103,"Movie","Clock","Alexis Jacknow","Dianna Agron, Melora Hardin, Jay Ali, Grace Porter, Saul Rubinek","United States of America","2023-03-28",2023,5.6,NA,"Horror, Thriller","en","On the eve of her 38th birthday, a woman desperately attempts to fix her broken biological clock.",14.668,224,5.6,0,0
"13009",940551,"Movie","Migration","Benjamin Renner","Kumail Nanjiani, Elizabeth Banks, Caspar Jennings, Tresi Gazal, Awkwafina","United States of America","2023-12-06",2023,7.4,NA,"Animation, Adventure, Comedy, Family","en","After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",159.869,1947,7.4,72000000,298776052
"6602",333663,"Movie","War on Everyone","John Michael McDonagh","Michael Peña, Alexander Skarsgård, Theo James, Tessa Thompson, Caleb Landry Jones","United Kingdom","2016-10-07",2016,5.779,NA,"Action, Comedy, Mystery","en","Two corrupt cops in New Mexico set out to blackmail and frame every criminal unfortunate enough to cross their path. Things take a sinister turn, however, when they try to intimidate someone who is more dangerous than they are. Or is he?",9.202,427,5.779,0,0
"774",42507,"Movie","Bestseller","Lee Jung-ho","Uhm Jung-hwa, Ryu Seung-ryong, Lee Do-gyeong, Cho Jin-woong, Lee Sung-min","South Korea","2010-04-15",2010,5.9,NA,"Horror, Thriller, Mystery","ko","Following a humiliating plagiarism scandal, an author moves to an isolated small-town house with her daughter to write her comeback novel. Desperate for inspiration, she communicates with a mysterious ghostly presence that has befriended her daughter.",5.123,53,5.9,0,0
"9374",522892,"Movie","Escaping the Madhouse: The Nellie Bly Story","Karen Moncrieff","Christina Ricci, Judith Light, Joshua Bowman, Anja Savcic, Nikki Duval","Canada","2019-01-06",2019,7.5,NA,"Thriller","en","An investigative reporter Nellie Bly, who’s on a mission to expose the deplorable conditions and mistreatment of patients at the notorious Women’s Lunatic Asylum, and feigns mental illness in order to be institutionalized to report from the inside. The movie is an account of actual events surrounding Nellie’s stay beginning after she has undergone treatment, leaving her with no recollection of how she came to the asylum or her real identity.",12.839,126,7.5,0,0
"1720",78294,"Movie","Panic Button","Chris Crow","Scarlett Alice Johnson, Jack Gordon, Michael Jibson, Elen Rhys, Joshua Richards","United Kingdom","2011-08-27",2011,5.17,NA,"Horror, Thriller","en","Four young men have won a trip with their favorite social network. On board the private plane that took him to New York, they are invited to participate in an in-flight entertainment: a new online gaming experience. But this is no ordinary Thurs Trapped at 30,000 feet, they will play for their lives and those of their families. They will discover the hard way that put his life online can have dire consequences...",6.025,159,5.17,0,0
"8596",497223,"Movie","Don't. Get. Out!","Christian Alvart","Wotan Wilke Möhring, Hannah Herzsprung, Emily Kusche, Marc Hosemann, Christiane Paul","Germany","2018-04-12",2018,6.3,NA,"Thriller","de","Taking his kids to school with the car, Berlin real estate developer Karl gets a call from a blackmailer: If he doesn’t pay up, the car will blow up. A deadly race against time begins.",9.914,122,6.3,0,0
"7045",282035,"Movie","The Mummy","Alex Kurtzman","Tom Cruise, Annabelle Wallis, Sofia Boutella, Jake Johnson, Courtney B. Vance","Japan, United States of America","2017-06-06",2017,5.513,NA,"Fantasy, Thriller, Action, Adventure, Horror","en","Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",47.712,7273,5.513,125000000,409231607
"15726",1136349,"Movie","Summer Illusion","Alex Comas","Claud Hernández, Marc Pineda, Jordi Banacolocha, Helena De la Torre, Paola Soliva","Spain","2025-03-06",2025,0,NA,"Drama","es","At the end of summer, a young couple, Eric and Anna, make the drastic decision to run away from home and embark on a road trip with no clear destination. What initially seems like a liberating journey soon becomes an oppressive experience.",6.566,0,0,0,0
"3483",122369,"Movie","13 Eerie","Lowell Dean","Katharine Isabelle, Michael Shanks, Brendan Fehr, Brendan Fletcher, Nick Moran","Canada","2013-03-29",2013,4.7,NA,"Horror, Thriller","en","Forensics students arriving an isolated, island ""body farm"" get to try out their CSI skills on a bunch of corpses under the watchful eye of their grumpy professor.  The island used to house a state penitentiary where the authorities were experimenting on death row inmates and now the bodies won't stay still.",9.589,102,4.7,0,0
"9988",576069,"Movie","Bait","Mark Jenkin","Edward Rowe, Mary Woodvine, Giles King, Simon Shepherd, Chloe Endean","United Kingdom","2019-03-26",2019,6.937,NA,"Drama","en","Martin Ward is a cove fisherman, without a boat. His brother Steven has repurposed their father’s vessel as a tourist tripper, driving a wedge between the brothers. With their childhood home now a getaway for London money, Martin is displaced to the estate above the picturesque harbour. As his struggle to restore the family to their traditional place creates increasing friction with tourists and locals alike, a tragedy at the heart of the family changes his world.",6.914,87,6.937,0,0
"6073",300669,"Movie","Don't Breathe","Fede Álvarez","Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto, Emma Bercovici","United States of America","2016-06-08",2016,7,NA,"Horror, Thriller","en","A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.",35.277,7510,7,9900000,158906350
"4885",247645,"Movie","Queen","Vikas Bahl","Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Mish Boyko, Jeffrey Ho","India","2014-03-07",2014,7.3,NA,"Comedy, Drama","hi","Rani, a 24-year-old homely girl, decides to go on her honeymoon alone when her fiancé calls off the wedding. Traveling around Europe, she finds joy, makes friends, and gains new-found independence.",6.59,277,7.3,1900000,1.7e+07
"4946",299590,"Movie","Best Christmas Party Ever","John Bradshaw","Torrey DeVitto, Steve Lund, Emily Coutts, Linda Thorson, Kalinka Pétrie","Canada, United States of America","2014-12-13",2014,6.1,NA,"Comedy, TV Movie, Drama","en","With the holidays approaching, a young party planner arranges a special Christmas party for a New York toy store. When a powerful corporation threatens to shut her down, she decides to follow her heart, moving forward with the party plans and finding true love in time for Christmas.",6.175,55,6.1,0,0
"12729",747779,"Movie","One Fine Morning","Mia Hansen-Løve","Léa Seydoux, Pascal Greggory, Melvil Poupaud, Nicole Garcia, Camille Leban Martins","France, Germany, United Kingdom","2022-10-05",2022,6.5,NA,"Romance, Drama","fr","With a father suffering from neurodegenerative disease, a young woman lives with her eight-year-old daughter. While struggling to secure a decent nursing home, she runs into an unavailable friend with whom she embarks on an affair.",10.038,137,6.5,0,1380392
"14352",704673,"Movie","Trigger Warning","Mouly Surya","Jessica Alba, Anthony Michael Hall, Tone Bell, Mark Webber, Jake Weary","United States of America","2024-06-20",2024,5.7,NA,"Action","en","A Special Forces commando uncovers a dangerous conspiracy when she returns to her hometown looking for answers into her beloved father's death.",44.282,511,5.7,0,0
"14943",1248390,"Movie","과외 선생님과 색 밝히는 가족","Lee Ha-II","Woo Yeol, Jo Wan-jin, Min Jo-ah, Han Yi-seul, Jin Si-ah","South Korea","2024-02-15",2024,0,NA,"Romance","ko","",12.007,0,0,0,0
"2928",116185,"Movie","Billa II","Chakri Toleti","Ajith Kumar, Vidyut Jammwal, Sudhanshu Pandey, Yog Jappie, Manoj K Jayan","India","2012-07-13",2012,6,NA,"Action, Crime","ta","Small-time diamond smuggler David befriends Goa-based gangster Abbasi. But when David begins to build inroads with an international gangster, Abbasi is not happy, and soon the two turn into bitter rivals.",5.19,37,6,0,0
"3219",230222,"Movie","Tarzan","Reinhard Klooss","Kellan Lutz, Spencer Locke, Les Bubb, Joe Cappelletti, Brian Huskey","Germany, United States of America","2013-10-17",2013,5.7,NA,"Animation, Action, Adventure, Family","en","One of the most classic and revered stories of all time, Edgar Rice Burroughs' Tarzan returns to the big screen for a new generation. Tarzan and Jane face a mercenary army dispatched by the evil CEO of Greystoke Energies, a man who took over the company from Tarzan's parents, after they died in a plane crash in the African jungle.",15.753,601,5.7,0,44095996
"7752",487702,"Movie","F the Prom","Benny Fine","Danielle Campbell, Joel Courtney, Meg DeLacy, Madelaine Petsch, Michael Chey","United States of America","2017-12-05",2017,5.9,NA,"Comedy, Drama","en","Maddy and Cole were inseparable friends until high school started and Maddy became the most popular girl on campus. When she starts feeling lonely and heartbroken, she reconnects with Cole and the duo conspire to destroy the ultimate teen popularity contest",8.377,411,5.9,0,0
"4150",239678,"Movie","This Is Where I Leave You","Shawn Levy","Jason Bateman, Tina Fey, Jane Fonda, Adam Driver, Rose Byrne","United States of America","2014-09-10",2014,6.6,NA,"Drama, Comedy","en","When their father passes away, four grown, world-weary siblings return to their childhood home and are requested -- with an admonition -- to stay there together for a week, along with their free-speaking mother and a collection of spouses, exes and might-have-beens. As the brothers and sisters re-examine their shared history and the status of each tattered relationship among those who know and love them best, they reconnect in hysterically funny and emotionally significant ways.",21.626,1351,6.6,19800000,41300000
"15357",1433735,"Movie","Loco por ella","Rodrigo Nava","Diego Klein, Minnie West, Cassandra Sánchez Navarro, Herly RG, Luz Aldán","","2025-03-06",2025,0,NA,"Comedy","en","Álvaro falls in love with Carla, a bipolar girl.",10.632,0,0,0,0
"13347",955531,"Movie","Sister Death","Paco Plaza","Aria Bedmar, Maru Valdivielso, Luisa Merelas, Almudena Amor, Chelo Vivares","Spain","2023-10-05",2023,6,NA,"Drama, Horror","es","Spain, 1949. Narcisa, a novice, arrives at an old convent, converted into a girls' school, to work as a teacher.",20.562,304,6,0,0
"15521",1412569,"Movie","Hiram na Sandali","G.B. Sampedro","Dyessa Garcia, Vince Rillon, Denise Esteban, Aerol Carmelo, Ara Altamira","Philippines","2025-01-16",2025,10,NA,"Drama, Romance","tl","An ex-couple accidentally bumps into each other whenever they visit their dog’s grave on its death anniversary. These chance meetings will later lead to a passionate reunion of the two.",8.389,1,10,0,0
"3399",214597,"Movie","Fright Night 2: New Blood","Eduardo Rodríguez","Will Payne, Sean Power, Sacha Parkinson, Chris Waller, Jaime Murray","United States of America","2013-08-31",2013,4.9,NA,"Horror, Comedy","en","By day Gerri Dandridge is a sexy professor, but by night she transforms into a real-life vampire with an unquenchable thirst for human blood. When a group of high school students travel abroad to study in Romania, they find themselves ensnared in her chilling web of lust and terror. Charlie and 'Evil' Ed must stop Gerri from drinking and bathing in the blood of a 'new moon virgin', who just so happens to be Charlie’s ex-girlfriend.",10.821,297,4.9,8000000,0
"136",55241,"Movie","Meteor Storm","Tibor Takács","Michael Trucco, Kari Matchett, Brett Dier, Eric Johnson, Kevin McNulty","United States of America","2010-01-30",2010,4.881,NA,"Science Fiction, Adventure, TV Movie","en","San Francisco becomes a target for waves of destructive meteors after a rogue comet orbits around the earth... For astronomer, Michelle Young, what was meant to be a once-in-a-lifetime celestial event, soon turns into her worst nightmare as thousands of meteors break the surface of the atmosphere and bombard the city of San Francisco.",18.295,63,4.881,0,0
"8768",463022,"Movie","The Super","Stephan Rick","Val Kilmer, Patrick John Flueger, Louisa Krause, Mattea Conforti, Taylor Richardson","United States of America","2018-11-08",2018,5.1,NA,"Thriller, Horror","en","A man becomes the superintendent of a large New York City apartment building where people mysteriously go missing.",8.32,152,5.1,2300000,0
"3365",191714,"Movie","The Lunchbox","Ritesh Batra","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey, Nasirr Khan","France, Germany, India, United States of America","2013-09-20",2013,7.3,NA,"Drama, Romance","hi","A mistaken delivery in Mumbai's famously efficient lunchbox delivery system (Mumbai's Dabbawallahs) connects a young housewife to a stranger in the dusk of his life. They build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.",11.522,718,7.3,3400000,17240000
"15386",1372141,"Movie","Will You Marry Monk?","Worawut Thawinwisitwat, Weeravat Chayochaikorn, Ongart Cheamcharoenpornkul","Arak Amornsupasiri, Patara Eksangkul, Kornnaphat Sethratanapong, Jaturong Mokjok, Chaleumpol Tikumpornteerawong","Thailand","2025-03-06",2025,0,NA,"Comedy","th","When a Thai monk fights with a Japanese monk as a brother-in-law, even though this is not the monk’s duty, the monk has to get involved because his young sister wants to marry a monk, which is impossible!",10.109,0,0,0,0
"565",63414,"Movie","Darling","A. Karunakaran","Prabhas, Kajal Agarwal, Prabhu, Tulasi, Ahuti Prasad","India","2010-04-23",2010,6.3,NA,"Drama, Romance","te","Prabha prepares to meet Nandini, his childhood friend, at a reunion party organised by his father. However, things take a turn when Nisha, a gangster's daughter, falls in love with him.",6.877,28,6.3,0,0
"13297",1181678,"Movie","¿Quieres ser mi hijo?","Ihtzi Hurtado","Ludwika Paleta, Juanpa Zurita, Hernán Mendoza, Harold Azuara, Agustín Arana","United States of America","2023-09-21",2023,8.599,NA,"Comedy, Romance","en","Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer.",23.039,282,8.599,0,0
"7005",370663,"Movie","Below Her Mouth","April Mullen","Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen, Tommie-Amber Pirie","Canada","2017-02-10",2017,6.8,NA,"Drama, Romance","en","An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.",115.014,1212,6.8,0,33673
"1683",103597,"Movie","Americano","Mathieu Demy","Salma Hayek Pinault, Mathieu Demy, Geraldine Chaplin, Chiara Mastroianni, Carlos Bardem","France","2011-11-30",2011,5.2,NA,"Drama","fr","A real estate agent from Paris arrives in Los Angeles to settle his late mother's estate, but a found photograph sends him on an impromptu journey to Mexico to find a woman named Lola.",6.256,33,5.2,0,0
"3574",159014,"Movie","20 Feet from Stardom","Morgan Neville","Darlene Love, Lisa Fischer, Merry Clayton, Judith Hill, Claudia Lennear","United States of America","2013-06-14",2013,7.2,NA,"Documentary, Music","en","Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now.",8.354,238,7.2,1000000,5892466
"8320",429197,"Movie","Vice","Adam McKay","Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Alison Pill","United States of America","2018-12-25",2018,7,NA,"Comedy, Drama","en","George W. Bush picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and Defense Secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.",14.308,3375,7,60000000,76100000
"7787",467615,"Movie","The Curse of Buckout Road","Matthew Currie Holmes","Evan Ross, Henry Czerny, Dominique Provost-Chalkley, Danny Glover, Colm Feore","Canada","2017-11-24",2017,6.6,NA,"Horror","en","A college class project on creation and destruction of modern myth, turns terrifying when a trio of young people come to realize the urban legends surrounding the famed Buckout Road may, in fact, be REAL.",8.102,55,6.6,0,0
"3063",116711,"Movie","Epic","Chris Wedge","Colin Farrell, Amanda Seyfried, Christoph Waltz, Josh Hutcherson, Jason Sudeikis","United States of America","2013-05-15",2013,6.5,NA,"Animation, Adventure, Family, Fantasy","en","A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.",33.275,2774,6.5,100000000,268426634
